IP Address,VRF,Status,Role,Tenant,Assigned,DNS Name,Description,Device/VM,ID,Tenant Group,NAT (Inside),NAT (Outside),Comments,Tags,Created,Last updated,Interface
192.168.0.1/24,Global,Active,,,55,,,Switch1,10,,,,,,2023-05-26 15:57,2023-05-26 15:57,Management1
192.168.1.2/24,Global,Active,,,62,,,MuonEncapGateway,11,,,,,,2023-05-29 15:39,2023-05-29 15:39,Ctl+Red+Blue
192.168.1.3/24,Global,Active,,,63,,,MuonDecapGateway,12,,,,,,2023-05-29 15:42,2023-05-29 15:42,Ctl+Red+Blue
192.168.1.4/24,Global,Active,,,64,,,BackupGateway,13,,,,,,2023-06-02 14:22,2023-06-02 14:22,Ctl+Red+Blue
192.168.1.14/24,Global,Active,,,,,,,8,,,,,,2023-05-24 20:42,2023-05-29 15:44,
192.168.1.15/24,Global,Active,,,,,,,9,,,,,,2023-05-24 20:42,2023-05-29 15:43,
